No.,FREQUENCY(Hz),Rs,X
191,2478100,49.75181,-61.80146
192,2658300,47.60352,-58.66223
193,2851600,45.53045,-55.63279
194,3059000,43.63469,-52.64975
195,3281400,41.83469,-49.83546
196,3520000,40.06389,-47.04678
197,3776000,38.42279,-44.26196
198,4050600,36.78315,-41.57621
199,4345100,35.23862,-38.91097
200,4661100,33.79196,-36.23074
201,5000000,32.39122,-33.54336
